Date,Price,Open,High,Low,Vol.,Change %
2013-08-15,151.12,152.1,152.1,150.97,10.03M,-1.43%
2013-08-14,153.32,154.27,154.43,153.11,6.38M,-0.73%
2013-08-13,154.44,154.42,154.97,153.34,4.75M,0.27%
2013-08-12,154.03,153.45,154.3,153.35,3.70M,-0.05%
2013-08-09,154.11,154.49,154.95,153.33,4.55M,-0.37%
2013-08-08,154.69,155.33,155.45,153.99,5.07M,0.10%
2013-08-07,154.54,154.32,154.75,154.01,4.34M,-0.20%
2013-08-06,154.85,155.37,155.38,154.41,3.59M,-0.60%
2013-08-05,155.79,155.91,156.01,155.5,3.08M,-0.26%
2013-08-02,156.2,155.47,156.24,155.23,3.63M,0.20%
2013-08-01,155.89,155.89,156.16,155.67,4.87M,0.68%
2013-07-31,154.84,155.12,156.03,154.56,11.79M,-0.05%
2013-07-30,154.91,155.4,155.58,154.42,4.21M,-0.01%
2013-07-29,154.93,154.86,155.14,154.45,2.59M,-0.15%
2013-07-26,155.16,154.48,155.25,153.67,3.86M,0.03%
2013-07-25,155.12,154.54,155.25,154.2,5.48M,0.01%
2013-07-24,155.1,155.61,155.7,154.61,3.90M,-0.17%
2013-07-23,155.36,155.57,155.67,155.08,3.39M,0.16%
2013-07-22,155.11,155.12,155.42,154.81,3.17M,-0.01%
2013-07-19,155.12,154.88,155.14,154.57,4.83M,-0.14%
2013-07-18,155.34,154.98,155.74,154.56,6.83M,0.58%
2013-07-17,154.44,154.64,154.85,154.18,6.51M,0.09%
2013-07-16,154.3,154.6,154.74,153.93,3.60M,-0.22%
2013-07-15,154.64,154.56,154.87,154.33,2.75M,0.30%
2013-07-12,154.17,154.42,154.76,153.89,6.35M,-0.14%
2013-07-11,154.38,154.35,154.62,153.71,5.86M,1.09%
2013-07-10,152.71,152.77,153.29,152.36,6.13M,-0.05%
2013-07-09,152.79,152.71,152.99,152.22,5.20M,0.51%
2013-07-08,152.02,151.78,152.43,151.68,4.92M,0.66%
2013-07-03,149.54,148.42,149.98,148.25,2.60M,0.41%
2013-07-02,148.93,149.15,150.21,148.4,4.87M,-0.33%
2013-07-01,149.42,149.52,150.5,149.22,4.90M,0.59%
2013-06-28,148.55,149.32,150.03,148.47,6.72M,-0.90%
2013-06-27,149.9,149.69,150.42,149.55,6.59M,0.75%
2013-06-26,148.79,148.3,149.07,147.97,6.33M,1.01%
2013-06-25,147.3,147.41,147.8,146.62,7.59M,0.70%
2013-06-24,146.28,146.33,147.43,145.17,14.13M,-0.98%
2013-06-21,147.73,148.03,148.28,146.53,10.97M,0.10%
2013-06-20,147.58,149.84,149.88,147.29,14.31M,-2.32%
2013-06-19,151.09,152.94,153.22,151.05,9.15M,-1.31%
2013-06-18,153.1,151.96,153.36,151.92,4.81M,0.87%
2013-06-17,151.78,151.63,152.58,151.05,6.69M,0.74%
2013-06-14,150.66,151.6,152.01,150.39,4.64M,-0.72%
2013-06-13,151.76,149.74,151.99,149.48,6.21M,1.27%
2013-06-12,149.86,152.18,152.35,149.7,6.90M,-0.89%
2013-06-11,151.2,151.08,152.42,150.7,7.01M,-0.66%
2013-06-10,152.21,152.79,152.88,151.98,4.92M,-0.07%
2013-06-07,152.32,151.16,152.44,150.7,8.09M,1.38%
2013-06-06,150.25,149.38,150.27,148.31,15.16M,0.63%
2013-06-05,149.31,151.22,151.43,149.29,9.43M,-1.54%
2013-06-04,151.64,152.26,152.91,150.82,7.96M,-0.44%
2013-06-03,152.31,151.54,152.36,151.1,10.86M,0.80%
2013-05-31,151.1,152.61,153.73,150.9,7.43M,-1.31%
2013-05-30,153.1,152.86,153.8,152.6,8.23M,0.17%
2013-05-29,152.84,153.02,153.25,152.02,7.91M,-0.68%
2013-05-24,152.77,152.16,152.82,151.73,4.54M,0.00%
2013-05-23,152.77,151.67,153.24,151.55,10.48M,-0.05%
2013-05-22,152.84,153.71,155.14,152.35,12.81M,-0.44%
2013-05-21,153.51,153.28,154.02,152.89,5.74M,0.31%
2013-05-20,153.04,153.04,153.56,152.82,4.46M,-0.07%
2013-05-17,153.14,152.42,153.24,152.21,5.50M,0.45%
2013-05-16,152.45,152.64,153.11,152.24,8.20M,-0.22%
2013-05-15,152.78,151.88,153.11,151.86,5.77M,0.43%
2013-05-14,152.13,150.88,152.17,150.86,5.55M,0.84%
2013-05-13,150.86,150.75,151.01,150.48,3.84M,-0.12%
2013-05-10,151.04,150.91,151.1,150.29,4.14M,0.13%
2013-05-09,150.84,150.9,151.37,150.39,3.95M,-0.07%
2013-05-08,150.94,150.13,150.96,150.1,4.09M,0.45%
2013-05-07,150.26,149.77,150.28,149.44,5.36M,0.56%
2013-05-06,149.43,149.36,149.6,149.14,3.11M,0.05%
2013-05-03,149.36,149.26,149.82,149.2,5.93M,0.95%
2013-05-02,147.96,147.12,148.05,146.91,4.34M,0.83%
2013-05-01,146.74,147.56,147.81,146.58,5.37M,-0.86%
2013-04-30,148.02,147.87,148.11,147.05,8.07M,0.11%
2013-04-29,147.86,147.2,148.15,146.91,6.13M,0.67%
2013-04-26,146.88,146.55,147.15,146.52,3.24M,0.08%
2013-04-25,146.76,146.64,147.42,146.36,4.16M,0.21%
2013-04-24,146.45,147.02,147.21,146.39,4.97M,-0.24%
2013-04-23,146.8,146.13,146.9,145.15,10.44M,1.02%
2013-04-22,145.32,145.38,145.57,144.24,11.71M,0.12%
2013-04-19,145.14,144.71,145.21,144.36,6.03M,-0.03%
2013-04-18,145.18,146.1,146.12,144.77,8.28M,-0.53%
2013-04-17,145.95,146.55,146.6,145.37,10.76M,-0.96%
2013-04-16,147.36,146.98,147.39,146.37,6.98M,1.06%
2013-04-15,145.81,147.9,147.93,145.72,14.18M,-1.76%
2013-04-12,148.42,147.99,148.46,147.68,8.71M,0.01%
2013-04-11,148.4,147.82,148.66,147.63,6.98M,0.42%
2013-04-10,147.78,146.98,148.06,146.96,7.95M,0.87%
2013-04-09,146.51,146.08,146.96,145.75,5.49M,0.38%
2013-04-08,145.95,145.32,145.95,144.76,3.86M,0.44%
2013-04-05,145.31,144.18,145.51,144.05,7.31M,-0.32%
2013-04-04,145.77,145.36,145.98,145.09,7.52M,0.43%
2013-04-03,145.14,146.24,146.47,144.95,7.66M,-0.77%
2013-04-02,146.27,145.87,146.5,145.78,5.67M,0.63%
2013-04-01,145.35,145.3,145.73,144.97,8.62M,0.02%
2013-03-28,145.32,145.01,145.53,144.84,4.35M,0.25%
2013-03-27,144.96,144.35,145.09,144.06,4.13M,-0.22%
2013-03-26,145.28,144.67,145.29,144.63,4.88M,0.74%
2013-03-25,144.21,145.09,145.32,143.6,9.60M,-0.48%
2013-03-22,144.9,144.31,144.94,144.28,5.03M,0.70%
2013-03-21,143.89,144.12,144.59,143.49,6.08M,-0.64%
2013-03-20,144.81,144.86,145.15,144.59,5.92M,0.35%
2013-03-19,144.3,144.51,144.83,143.48,9.30M,0.09%
2013-03-18,144.17,143.85,144.88,143.7,5.51M,-0.45%
2013-03-15,144.82,144.82,144.89,144.39,10.84M,-0.35%
2013-03-14,145.33,144.81,145.35,144.76,5.37M,0.60%
2013-03-13,144.46,144.44,144.71,144.09,4.32M,0.04%
2013-03-12,144.4,144.29,144.7,144.03,5.17M,0.03%
2013-03-11,144.36,143.73,144.36,143.61,4.37M,0.42%
2013-03-08,143.76,143.95,144.02,143.21,5.68M,0.43%
2013-03-07,143.14,142.98,143.39,142.9,3.69M,0.21%
2013-03-06,142.84,142.91,143.07,142.49,4.49M,0.35%
2013-03-05,142.34,141.69,142.68,141.69,7.96M,0.90%
2013-03-04,141.07,140.36,141.1,140.1,3.62M,0.23%
