Date,Price,Open,High,Low,Vol.,Change %
2015-03-06,"1,164.30","1,197.50","1,200.00","1,162.90",214800.0,-2.67%
2015-03-05,"1,196.20","1,200.20","1,208.90","1,195.80",131860.0,-0.39%
2015-03-04,"1,200.90","1,203.80","1,208.40","1,197.70",107560.0,-0.29%
2015-03-03,"1,204.40","1,206.10","1,214.40","1,194.60",155660.0,-0.31%
2015-03-02,"1,208.20","1,213.80","1,223.00","1,204.20",133100.0,-0.40%
2015-02-27,"1,213.10","1,208.80","1,219.20","1,204.10",113770.0,0.25%
2015-02-26,"1,210.10","1,203.90","1,219.90","1,203.40",137280.0,0.72%
2015-02-25,"1,201.50","1,200.80","1,211.70","1,200.70",106080.0,0.35%
2015-02-24,"1,197.30","1,201.90","1,204.40","1,190.00",116610.0,-0.29%
2015-02-23,"1,200.80","1,203.50","1,210.30","1,190.60",115220.0,-0.34%
2015-02-20,"1,204.90","1,208.00","1,215.30","1,197.70",109250.0,-0.22%
2015-02-19,"1,207.60","1,212.50","1,222.90","1,205.20",115720.0,0.62%
2015-02-18,"1,200.20","1,209.30","1,213.40","1,197.20",121130.0,-0.70%
2015-02-16,"1,208.60","1,227.50","1,236.70","1,203.30",181840.0,-1.51%
2015-02-13,"1,227.10","1,223.00","1,234.90","1,222.50",96370.0,0.52%
2015-02-12,"1,220.70","1,218.30","1,232.80","1,218.00",109410.0,0.09%
2015-02-11,"1,219.60","1,234.10","1,238.70","1,216.50",116280.0,-1.02%
2015-02-10,"1,232.20","1,238.30","1,245.90","1,230.60",97140.0,-0.75%
2015-02-09,"1,241.50","1,235.90","1,243.60","1,234.40",92650.0,0.56%
2015-02-06,"1,234.60","1,266.40","1,269.00","1,228.20",205100.0,-2.23%
2015-02-05,"1,262.70","1,270.40","1,274.60","1,256.10",113830.0,-0.14%
2015-02-04,"1,264.50","1,261.50","1,273.30","1,256.90",136180.0,0.33%
2015-02-03,"1,260.30","1,275.60","1,286.50","1,255.80",181990.0,-1.30%
2015-02-02,"1,276.90","1,283.00","1,283.90","1,266.50",119880.0,-0.18%
2015-01-30,"1,279.20","1,259.00","1,285.40","1,257.50",163880.0,1.86%
2015-01-29,"1,255.90","1,284.00","1,286.60","1,252.10",243650.0,-2.33%
2015-01-28,"1,285.90","1,292.00","1,293.30","1,279.00",180390.0,-0.45%
2015-01-27,"1,291.70","1,280.70","1,297.40","1,272.00",186950.0,0.96%
